areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E06000023,"Bristol, City of",utla,2022-01-02,77.3,71.0,48.9
E06000023,"Bristol, City of",utla,2022-01-01,77.3,71.0,48.7
E06000023,"Bristol, City of",utla,2021-12-31,77.3,71.0,48.6
E06000023,"Bristol, City of",utla,2021-12-30,77.2,70.9,48.5
E06000023,"Bristol, City of",utla,2021-12-29,77.2,70.9,47.7
E06000023,"Bristol, City of",utla,2021-12-28,77.1,70.8,46.7
E06000023,"Bristol, City of",utla,2021-12-27,77.0,70.8,46.4
E06000023,"Bristol, City of",utla,2021-12-26,77.0,70.7,46.1
E06000023,"Bristol, City of",utla,2021-12-25,77.0,70.7,46.1
E06000023,"Bristol, City of",utla,2021-12-24,77.0,70.7,46.1
E06000023,"Bristol, City of",utla,2021-12-23,77.0,70.7,45.9
E06000023,"Bristol, City of",utla,2021-12-22,76.9,70.6,44.7
E06000023,"Bristol, City of",utla,2021-12-21,76.8,70.5,42.7
E06000023,"Bristol, City of",utla,2021-12-20,76.7,70.4,40.8
E06000023,"Bristol, City of",utla,2021-12-19,76.7,70.4,39.1
E06000023,"Bristol, City of",utla,2021-12-18,76.6,70.3,37.1
E06000023,"Bristol, City of",utla,2021-12-17,76.6,70.2,34.6
E06000023,"Bristol, City of",utla,2021-12-16,76.5,70.1,33.0
E06000023,"Bristol, City of",utla,2021-12-15,76.5,70.1,31.8
E06000023,"Bristol, City of",utla,2021-12-14,76.4,70.0,30.3
E06000023,"Bristol, City of",utla,2021-12-13,76.4,70.0,29.4
E06000023,"Bristol, City of",utla,2021-12-12,76.4,69.9,28.7
E06000023,"Bristol, City of",utla,2021-12-11,76.4,69.9,28.4
E06000023,"Bristol, City of",utla,2021-12-10,76.3,69.8,27.2
E06000023,"Bristol, City of",utla,2021-12-09,76.3,69.8,26.7
E06000023,"Bristol, City of",utla,2021-12-08,76.3,69.8,26.2
E06000023,"Bristol, City of",utla,2021-12-07,76.2,69.7,25.7
E06000023,"Bristol, City of",utla,2021-12-06,76.2,69.6,25.2
E06000023,"Bristol, City of",utla,2021-12-05,76.2,69.6,24.9
E06000023,"Bristol, City of",utla,2021-12-04,76.2,69.6,24.8
E06000023,"Bristol, City of",utla,2021-12-03,76.1,69.5,24.2
E06000023,"Bristol, City of",utla,2021-12-02,76.1,69.5,23.8
E06000023,"Bristol, City of",utla,2021-12-01,76.0,69.4,23.4
E06000023,"Bristol, City of",utla,2021-11-30,76.0,69.4,22.9
E06000023,"Bristol, City of",utla,2021-11-29,76.0,69.3,22.5
E06000023,"Bristol, City of",utla,2021-11-28,75.9,69.3,22.1
E06000023,"Bristol, City of",utla,2021-11-27,75.9,69.2,21.9
E06000023,"Bristol, City of",utla,2021-11-26,75.9,69.2,21.1
E06000023,"Bristol, City of",utla,2021-11-25,75.8,69.1,20.8
E06000023,"Bristol, City of",utla,2021-11-24,75.8,69.1,20.4
E06000023,"Bristol, City of",utla,2021-11-23,75.7,69.0,19.8
E06000023,"Bristol, City of",utla,2021-11-22,75.7,69.0,19.4
E06000023,"Bristol, City of",utla,2021-11-21,75.7,69.0,19.1
E06000023,"Bristol, City of",utla,2021-11-20,75.6,68.9,19.1
E06000023,"Bristol, City of",utla,2021-11-19,75.6,68.9,18.3
E06000023,"Bristol, City of",utla,2021-11-18,75.5,68.9,18.0
E06000023,"Bristol, City of",utla,2021-11-17,75.5,68.8,17.5
E06000023,"Bristol, City of",utla,2021-11-16,75.4,68.8,17.0
E06000023,"Bristol, City of",utla,2021-11-15,75.3,68.7,16.5
E06000023,"Bristol, City of",utla,2021-11-14,75.3,68.7,16.2
E06000023,"Bristol, City of",utla,2021-11-13,75.3,68.7,16.0
E06000023,"Bristol, City of",utla,2021-11-12,75.2,68.6,15.3
E06000023,"Bristol, City of",utla,2021-11-11,75.2,68.6,15.0
E06000023,"Bristol, City of",utla,2021-11-10,75.1,68.5,14.6
E06000023,"Bristol, City of",utla,2021-11-09,75.1,68.5,14.1
E06000023,"Bristol, City of",utla,2021-11-08,75.0,68.5,13.8
E06000023,"Bristol, City of",utla,2021-11-07,74.9,68.4,13.5
E06000023,"Bristol, City of",utla,2021-11-06,74.9,68.4,13.4
E06000023,"Bristol, City of",utla,2021-11-05,74.8,68.3,12.6
E06000023,"Bristol, City of",utla,2021-11-04,74.8,68.3,12.4
E06000023,"Bristol, City of",utla,2021-11-03,74.7,68.3,12.0
E06000023,"Bristol, City of",utla,2021-11-02,74.7,68.2,11.5
E06000023,"Bristol, City of",utla,2021-11-01,74.6,68.2,11.1
E06000023,"Bristol, City of",utla,2021-10-31,74.6,68.1,10.8
E06000023,"Bristol, City of",utla,2021-10-30,74.6,68.1,10.7
E06000023,"Bristol, City of",utla,2021-10-29,74.5,68.1,10.1
E06000023,"Bristol, City of",utla,2021-10-28,74.5,68.0,9.9
E06000023,"Bristol, City of",utla,2021-10-27,74.4,68.0,9.5
E06000023,"Bristol, City of",utla,2021-10-26,74.4,68.0,9.2
E06000023,"Bristol, City of",utla,2021-10-25,74.3,67.9,8.8
E06000023,"Bristol, City of",utla,2021-10-24,74.3,67.9,8.5
E06000023,"Bristol, City of",utla,2021-10-23,74.2,67.9,8.5
E06000023,"Bristol, City of",utla,2021-10-22,74.2,67.8,7.8
E06000023,"Bristol, City of",utla,2021-10-21,74.2,67.7,7.5
E06000023,"Bristol, City of",utla,2021-10-20,74.1,67.7,7.0
E06000023,"Bristol, City of",utla,2021-10-19,74.1,67.6,6.8
E06000023,"Bristol, City of",utla,2021-10-18,74.0,67.6,6.5
E06000023,"Bristol, City of",utla,2021-10-17,73.9,67.5,6.3
E06000023,"Bristol, City of",utla,2021-10-16,73.9,67.5,6.3
E06000023,"Bristol, City of",utla,2021-10-15,73.9,67.4,5.5
E06000023,"Bristol, City of",utla,2021-10-14,73.8,67.4,5.2
E06000023,"Bristol, City of",utla,2021-10-13,73.7,67.3,4.8
E06000023,"Bristol, City of",utla,2021-10-12,73.7,67.3,4.4
E06000023,"Bristol, City of",utla,2021-10-11,73.6,67.2,4.2
E06000023,"Bristol, City of",utla,2021-10-10,73.5,67.2,4.1
E06000023,"Bristol, City of",utla,2021-10-09,73.5,67.1,4.0
E06000023,"Bristol, City of",utla,2021-10-08,73.4,67.1,3.3
E06000023,"Bristol, City of",utla,2021-10-07,73.4,67.0,3.1
E06000023,"Bristol, City of",utla,2021-10-06,73.3,66.9,2.9
E06000023,"Bristol, City of",utla,2021-10-05,73.3,66.8,2.6
E06000023,"Bristol, City of",utla,2021-10-04,73.3,66.8,2.4
E06000023,"Bristol, City of",utla,2021-10-03,73.2,66.7,2.3
E06000023,"Bristol, City of",utla,2021-10-02,73.2,66.6,2.1
E06000023,"Bristol, City of",utla,2021-10-01,73.1,66.5,1.7
E06000023,"Bristol, City of",utla,2021-09-30,73.0,66.5,1.5
E06000023,"Bristol, City of",utla,2021-09-29,72.9,66.4,1.2
E06000023,"Bristol, City of",utla,2021-09-28,72.9,66.3,1.1
E06000023,"Bristol, City of",utla,2021-09-27,72.8,66.2,0.9
E06000023,"Bristol, City of",utla,2021-09-26,72.8,66.1,0.8
E06000023,"Bristol, City of",utla,2021-09-25,72.8,66.1,0.7
E06000023,"Bristol, City of",utla,2021-09-24,72.7,66.0,0.4
E06000023,"Bristol, City of",utla,2021-09-23,72.7,65.9,0.3
E06000023,"Bristol, City of",utla,2021-09-22,72.7,65.8,0.2
E06000023,"Bristol, City of",utla,2021-09-21,72.6,65.7,0.1
E06000023,"Bristol, City of",utla,2021-09-20,72.6,65.5,0.1
E06000023,"Bristol, City of",utla,2021-09-19,72.5,65.4,0.1
E06000023,"Bristol, City of",utla,2021-09-18,72.5,65.3,0.1
E06000023,"Bristol, City of",utla,2021-09-17,72.5,65.1,0.1
E06000023,"Bristol, City of",utla,2021-09-16,72.5,65.0,0.1
E06000023,"Bristol, City of",utla,2021-09-15,72.4,64.9,
E06000023,"Bristol, City of",utla,2021-09-14,72.4,64.7,
E06000023,"Bristol, City of",utla,2021-09-13,72.3,64.6,
E06000023,"Bristol, City of",utla,2021-09-12,72.3,64.4,
E06000023,"Bristol, City of",utla,2021-09-11,72.3,64.3,
E06000023,"Bristol, City of",utla,2021-09-10,72.2,64.0,
E06000023,"Bristol, City of",utla,2021-09-09,72.2,63.8,
E06000023,"Bristol, City of",utla,2021-09-08,72.1,63.5,
E06000023,"Bristol, City of",utla,2021-09-07,72.1,63.2,
E06000023,"Bristol, City of",utla,2021-09-06,72.0,63.0,
E06000023,"Bristol, City of",utla,2021-09-05,72.0,62.8,
E06000023,"Bristol, City of",utla,2021-09-04,72.0,62.6,
E06000023,"Bristol, City of",utla,2021-09-03,71.9,62.2,
E06000023,"Bristol, City of",utla,2021-09-02,71.8,62.0,
E06000023,"Bristol, City of",utla,2021-09-01,71.8,61.7,
E06000023,"Bristol, City of",utla,2021-08-31,71.7,61.3,
E06000023,"Bristol, City of",utla,2021-08-30,71.6,61.0,
E06000023,"Bristol, City of",utla,2021-08-29,71.6,60.8,
E06000023,"Bristol, City of",utla,2021-08-28,71.6,60.6,
E06000023,"Bristol, City of",utla,2021-08-27,71.5,60.2,
E06000023,"Bristol, City of",utla,2021-08-26,71.4,59.9,
E06000023,"Bristol, City of",utla,2021-08-25,71.3,59.5,
E06000023,"Bristol, City of",utla,2021-08-24,71.2,59.0,
E06000023,"Bristol, City of",utla,2021-08-23,71.2,58.6,
E06000023,"Bristol, City of",utla,2021-08-22,71.1,58.1,
E06000023,"Bristol, City of",utla,2021-08-21,71.1,57.9,
E06000023,"Bristol, City of",utla,2021-08-20,70.9,57.4,
E06000023,"Bristol, City of",utla,2021-08-19,70.8,57.0,
E06000023,"Bristol, City of",utla,2021-08-18,70.7,56.6,
E06000023,"Bristol, City of",utla,2021-08-17,70.6,56.1,
E06000023,"Bristol, City of",utla,2021-08-16,70.6,55.9,
E06000023,"Bristol, City of",utla,2021-08-15,70.6,55.5,
E06000023,"Bristol, City of",utla,2021-08-14,70.6,55.4,
E06000023,"Bristol, City of",utla,2021-08-13,70.5,54.8,
E06000023,"Bristol, City of",utla,2021-08-12,70.4,54.3,
E06000023,"Bristol, City of",utla,2021-08-11,70.4,53.9,
